"Hetero_pwr","median","var"
4.46,-1.43185409266024e-28,4.77581770654857e-56
4.47,-9.12720527873919e-29,8.98428940385479e-57
4.48,2.8421709430404e-13,6.49236384808809e-25
4.49,-1.12322595668957e-13,5.07981426070975e-25
4.5,-2.42363566068352e-28,4.0113815973615e-56
4.51,6.86777265236381e-29,3.49867741054891e-56
4.52,-4.15201179966498e-29,3.42821798930902e-56
4.53,5.42058842256665e-13,1.0886524869819e-24
4.54,1.52249413076788e-12,2.07890111738898e-24
4.55,-1.730313670123e-13,1.21089999031529e-25
4.56,-4.24826998782663e-29,1.10270756294654e-55
4.57,5.52154233446345e-12,3.95784726085922e-24
4.58,-2.99627535325283e-29,2.83962773058496e-56
4.59,-2.23246414429219e-28,9.55100438593021e-56
4.6,2.07546690944582e-12,3.34058090992041e-24
4.61,-3.36362716921549e-28,1.15463789580021e-55
4.62,6.16637407802045e-13,3.07879770424997e-24
4.63,1.63709046319127e-14,1.22849651902926e-24
4.64,2.59476408515706e-29,1.76222482723887e-56
4.65,-1.14005160867237e-12,1.12401156013837e-24
4.66,6.01175997871906e-13,6.59598208895476e-24
4.67,7.36690708436072e-14,6.53662297891141e-25
4.68,1.22599885798991e-12,1.17154608606489e-24
4.69,-3.36203756518767e-28,8.71728828815156e-56
4.7,-8.64455868046531e-29,2.13624349315139e-56
4.71,8.18090484244749e-13,4.12472287635773e-25
4.72,-6.12512469808484e-29,4.94643833937237e-57
4.73,-2.5089624818709e-28,3.82145209569874e-56
4.74,-2.55650539621606e-28,6.52524088828219e-56
4.75,-4.76676704047005e-28,1.46367899010256e-55
4.76,2.02289697337603e-28,1.56162745490019e-56
4.77,-6.81288163981866e-29,9.18481813622853e-56
4.78,-1.25419319374487e-12,2.22350040294773e-24
4.79,-1.74804881680757e-12,2.72573482818129e-24
4.8,-2.66955847249292e-28,4.11559615082516e-56
4.81,-9.23590651508554e-29,9.10195827991417e-57
4.82,2.06605416313333e-28,2.49100075522987e-55
4.83,-5.00222085975111e-13,1.71190782427766e-24
4.84,-6.47560227662325e-13,2.21000137839673e-24
4.85,5.65705704502761e-13,2.20011495545991e-24
4.86,-4.193304053217e-28,2.47951626037105e-55
4.87,1.57398596241012e-28,3.280364865309e-56
4.88,-4.75471364026873e-28,1.30515377208383e-55
4.89,3.45932408284308e-29,1.71881203831243e-55
4.9,-2.88301979556387e-28,1.06799396229976e-55
4.91,7.68068275647238e-13,4.24308670875459e-25
4.92,-2.6211670328573e-28,4.42213369381079e-56
4.93,-3.29525517461036e-28,1.46405194897029e-55
4.94,2.1289201452783e-28,2.24150851188908e-55
4.95,9.05453797594817e-29,2.40417951022679e-55
4.96,-1.23419252885481e-28,6.69882416066293e-56
4.97,1.13760258523947e-28,9.94957562527961e-56
4.98,-1.13481049095153e-28,7.8201749444774e-56
4.99,9.96806193143129e-13,2.7032692982716e-24
5,-4.85670170746744e-13,2.11874489223988e-24
